User Name,Pach Vai Restaurant,Pansi Restaurant,Wondal Restaurant,Royal Dine Restaurant,Voujon Bari,Sip Coffee Restaurant,Kababia Restaurant Restaurant,Platinum Lounge,Big Bite Restaurant,Pizza Hut,Alpine Restaurant,KFC,Food House,Asmi Food,Food Lounge,Royal Kitchen,MadChef,Cafe Aarko,Spicy Restaurant & Party Center,Nawabs Kitchen,The Mad Grill Restaurant,ADDA Restaurant & Cafe,Kebab Garden,MEATUP,Palki Restaurant,Rainbow Chinese Restaurant,Saffron Restaurant,Stacks O'Snacks,Curry Royal,Hattrick Cafe & Restaurant,Spicy Restaurant & Party Center,Snack's Lane,Hideout Cafe,Mughal Restaurant - Sylhet,New Handi Restaurant,Spice village,food drive,Karagar Restaurant and cafe,Cafe Europeo,Buffet House and Restaurant,Mezban Bari Restaurant,Rain Terrace,Ishtikutum Chinese Restaurant,The Magician Restaurant,Dhaba Restaurant,Big Bite Restaurant,Pizza Express,Fuchka Garden,Ambrosia Food Factory,Yummy Hut,Pritiraj Restaurant,Cafe Shunno,Kebabish Original,Well Foods,Fat Belly,Sizzler,Sip & Bite,BBQ Nation - বিবিকিউ নেশন,Randhon Kabbo Restaurant,Mughal Masala,Go Nuts,Calorie Hype,Tandoori House,The Coffee Club,Hum Tum Restaurant,Treat Gallery,Mouroshi Restaurant,Hungry Station,Chick Chicken,Fatema Restaurant,Chaat Buzz,Bar-B-Q Factory,President Restaurant,The Titanic,Panthumai Restauran,What the ফুচকা,Panshi Inn,Dingi Resturant ডিঙি রেস্টুরেন্ট,Demon's Cave,Bay Leaf Chinese Restaurant,La Rose Hotel,রন্ধন কাব্য রেষ্টুরেন্ট,Inayah's Cafe & Restaurant,Club Coffee Sylhet,Cafe La Vista€,Himur Bhujon Bilash,Delhi Darbar,Delhi Restaurant,,
Wazedehsan,4,3,4,0,,3,4,3,3,0,2,0,2,0,5,5,1,1,3,1,4,0,0,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
Remembrance Dev,5,4,5,3,,5,2,3,3,3,2,3,3,3,3,3,3,3,4,4,3,4,4,3,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
Jahid ,5,5,5,4,,5,5,4,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
hasan,0,0,0,0,,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Mustafizur Reza,4,5,4,5,,4,3,5,4,5,4,5,4,3,3,3,3,3,3,4,3,3,3,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
Daniel Ahmed ,3,3,4,0,,0,0,5,4,5,4,5,0,0,0,4,0,0,4,4,4,0,0,0,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4
noyon,3,4,5,5,,4,3,4,4,5,3,5,4,4,5,5,5,5,5,4,5,4,5,5,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4
ayon,3,4,4,4,,3,2,5,3,5,3,4,5,4,2,3,5,4,4,4,5,3,5,5,2,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3
Rahul,2,4,3,4,,5,5,5,4,3,2,3,4,3,5,3,4,3,4,3,2,2,3,3,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3
JOHN,4,2,3,5,,4,4,2,3,5,2,5,3,2,5,5,3,5,3,3,5,3,4,4,3,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
NIJUM,3,4,5,5,,4,4,5,3,5,3,4,2,4,3,2,3,2,4,3,4,3,2,3,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3
PRODIP,2,3,4,4,,3,2,5,4,5,3,5,4,3,3,3,3,4,4,3,5,3,5,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
PRODIP,2,3,4,4,,3,2,5,4,5,3,5,4,3,3,3,3,4,4,3,5,3,5,3,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
Joydip bro,1,4,0,4,,5,5,4,5,5,5,5,2,5,4,4,4,3,5,3,5,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4
Butol chandra,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
R_K,3,1,2,4,,1,4,4,1,3,1,3,2,4,2,4,2,4,4,3,3,4,3,4,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1
T_K,2,3,2,3,,2,2,2,3,2,3,2,2,4,3,2,2,2,3,3,2,3,2,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
f_k,2,4,2,3,,3,2,2,3,2,3,2,4,2,3,2,3,3,2,3,2,3,2,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3
Shaon,2,0,2,2,,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
Jahid ,5,5,5,4,,5,5,4,5,5,3,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
Abdur Rahim,4,4,3,4,4,3,2,3,4,2,4,2,2,2,4,4,2,4,3,3,3,4,4,2,4,3,4,4,4,4,3,4,3,4,3,3,3,3,3,4,3,4,3,2,3,3,3,3,3,2,4,3,3,3,4,2,2,2,0,4,2,3,0,3,3,2,1,3,5,3,5,3,3,4,3,0,3,2,4,3,4,3,4,3,3,4,3,4,,
Habib,4,4,3,5,3,5,3,2,5,4,3,5,1,5,3,3,3,2,5,2,4,2,4,2,3,4,2,4,3,4,3,4,3,3,2,2,3,2,4,3,4,2,4,2,3,4,2,4,2,3,3,2,4,2,4,2,3,3,2,4,3,3,2,4,3,2,4,3,3,3,3,3,2,4,3,2,4,2,4,3,2,3,2,3,2,3,2,4,,
Karim Hussain,5,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,2,3,4,5,4,3,2,1,0,1,2,,
Rahmat,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,,
Abdul Bari,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,,
Mumin,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,5,4,3,4,,
Numan,5,3,4,5,4,3,4,5,4,3,4,5,4,5,3,5,4,3,5,4,3,5,4,3,5,4,3,4,4,5,3,4,5,4,5,3,5,4,3,5,4,3,5,4,4,3,5,4,3,5,4,3,5,4,4,5,3,4,5,4,3,4,5,4,3,5,3,5,4,3,5,4,3,4,4,3,4,5,3,5,4,3,4,5,4,4,3,5,,
Salam,4,5,3,5,4,5,3,4,3,4,5,4,3,0,1,4,3,5,3,4,4,3,5,4,5,4,5,4,5,3,4,5,4,3,5,4,4,3,5,4,5,3,3,5,3,5,4,4,5,3,5,3,5,3,5,4,3,4,4,3,5,2,5,1,2,5,2,4,3,5,2,4,3,3,5,4,3,4,4,3,5,3,4,5,4,3,4,4,,
Farhan,4,5,3,4,5,5,3,5,3,5,3,5,3,5,4,3,5,5,5,4,4,5,3,5,4,5,3,5,3,4,5,4,3,5,4,3,4,4,4,5,4,4,2,5,2,4,5,4,2,4,4,4,3,5,3,3,4,5,4,3,2,5,4,3,3,5,4,3,3,5,4,3,5,4,3,5,4,3,5,4,3,5,3,3,4,3,5,4,,
Adil,4,3,0,5,4,4,0,3,0,4,4,0,5,0,4,4,4,4,3,4,5,3,5,0,0,4,5,0,4,4,0,5,4,5,0,5,5,0,5,4,5,0,4,3,5,3,5,2,5,2,3,4,4,3,5,3,0,5,0,4,3,5,4,5,4,5,3,5,2,5,3,5,3,5,3,0,4,5,0,5,4,3,5,4,4,4,5,4,,
naim,4,5,5,5,4,4,4,4,3,5,4,5,4,0,0,0,4,4,0,0,0,4,0,4,4,0,3,4,0,0,0,0,0,3,4,0,0,4,0,0,0,0,4,0,4,3,4,3,0,5,3,0,3,4,0,0,5,0,3,4,4,0,4,0,4,3,0,4,0,3,0,0,5,5,0,5,0,3,4,0,0,4,0,0,5,0,0,4,,
jumm,3,4,4,4,2,4,4,0,0,4,3,4,0,4,0,4,5,5,4,0,4,0,3,3,3,4,5,0,4,0,4,0,4,0,4,0,0,4,0,5,0,3,5,0,4,4,5,3,0,4,2,0,3,3,0,0,3,3,3,3,4,3,4,5,0,3,0,4,0,4,0,4,3,4,5,5,0,0,3,0,4,0,0,4,0,4,4,0,,
pychjam,5,2,0,0,4,3,5,5,0,4,3,5,0,4,0,4,5,0,4,4,0,3,0,4,5,0,3,4,4,0,5,0,5,3,3,2,0,3,0,5,0,4,4,0,3,2,5,2,0,3,3,0,3,0,0,4,0,0,5,0,0,0,4,0,4,4,0,3,0,2,0,0,0,3,0,5,4,3,4,0,3,3,3,4,3,4,3,4,,
wasim,0,4,5,5,3,0,0,4,0,5,3,5,0,4,5,4,5,4,5,0,3,3,3,3,3,0,4,4,4,4,5,3,3,4,0,4,3,3,0,4,4,3,5,3,4,4,4,3,3,5,4,4,3,5,0,0,4,4,4,0,4,2,4,3,4,3,0,3,2,0,4,4,3,0,0,2,4,3,0,4,4,3,0,4,3,3,3,5,,
version,2,4,5,4,3,4,3,5,2,4,0,5,2,3,0,3,4,0,5,0,4,5,0,4,5,0,4,0,5,2,5,0,0,0,4,0,3,3,0,3,3,2,3,0,2,2,4,2,3,4,4,0,0,4,0,4,4,3,4,0,3,0,4,3,4,4,0,0,4,0,4,4,0,4,4,0,3,3,4,0,4,0,4,0,3,2,0,3,,
john,4,5,5,5,4,3,4,4,0,5,5,5,4,4,0,3,5,0,0,2,0,4,0,0,3,4,0,0,5,0,4,0,0,2,0,0,3,0,3,4,0,0,4,0,0,3,4,0,0,3,0,0,0,3,0,0,3,0,0,3,0,0,0,4,3,3,0,4,0,0,3,4,3,3,0,4,4,2,2,0,0,3,0,0,3,0,0,4,,
MD hasen,0,4,5,4,2,4,5,5,3,4,0,5,0,3,0,4,4,4,0,0,4,4,0,0,4,0,3,0,4,0,5,0,0,3,4,3,0,3,0,5,0,0,0,0,4,3,4,0,0,0,4,0,0,4,0,0,0,4,0,2,0,4,2,0,4,3,2,0,4,4,0,3,4,3,3,5,0,0,0,3,4,5,0,4,0,4,3,5,,
RAHIM KARIM,4,0,4,0,4,0,5,0,4,0,0,5,0,2,0,2,5,0,0,0,0,0,0,0,3,0,4,0,5,4,0,4,4,0,0,4,0,0,4,0,0,4,0,0,4,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,,
KORIM,0,0,4,4,0,4,0,0,0,4,0,5,0,0,0,4,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,4,0,4,0,4,0,0,4,0,4,0,5,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,2,0,4,,
petuk,5,0,4,5,0,4,0,5,4,4,5,4,4,5,4,5,0,0,5,0,0,5,0,4,0,4,5,0,4,4,0,0,4,5,0,0,5,0,0,5,0,5,0,3,4,0,0,0,0,4,4,4,5,0,4,3,0,0,5,0,4,0,0,4,4,4,4,5,0,1,4,0,5,0,0,0,0,5,4,0,2,0,4,4,0,4,0,3,,
karim,4,5,0,0,4,0,0,5,0,5,0,5,0,0,5,4,0,5,0,4,0,4,5,0,4,5,0,4,3,4,0,4,3,0,0,4,0,0,0,0,0,0,5,0,0,0,5,0,0,4,0,0,0,4,0,4,5,0,0,4,0,0,3,0,0,4,0,5,0,0,3,0,4,0,0,0,4,0,4,0,0,4,4,0,0,0,4,4,,
paink,0,3,0,5,2,2,0,0,0,4,0,3,0,0,0,5,0,2,4,5,0,3,0,4,3,4,5,3,5,3,3,0,0,4,4,2,3,5,4,0,5,3,2,4,3,2,5,0,5,5,5,0,5,0,0,4,0,5,0,4,0,0,0,0,5,0,4,4,0,5,5,4,0,3,3,4,0,4,0,0,0,0,0,4,0,4,0,4,,
Rohmot,4,3,5,3,4,4,3,5,4,5,3,5,3,5,4,2,4,3,3,5,3,5,2,2,3,4,4,4,2,4,2,3,2,3,2,5,5,1,4,1,2,4,5,2,5,5,2,5,4,3,3,3,4,0,3,4,4,3,5,2,2,3,3,2,2,5,5,3,4,5,2,2,5,2,3,2,5,1,3,3,2,2,2,5,5,2,5,0,,
Asif,4,3,5,2,5,4,3,2,5,4,5,3,5,4,3,4,4,4,5,4,5,4,3,5,5,4,2,5,3,5,5,4,3,5,4,3,4,5,3,4,5,5,3,5,4,3,4,5,3,5,3,4,3,4,5,3,4,3,5,3,2,5,2,5,3,3,5,3,4,4,3,5,3,4,4,2,5,4,4,3,5,3,4,3,5,3,5,4,,
Balam,0,2,3,4,3,5,3,4,5,3,5,2,5,3,4,5,3,4,3,5,3,5,4,3,5,3,5,4,3,4,5,3,5,3,5,5,3,5,3,4,3,4,4,3,4,4,5,4,5,2,3,4,5,4,5,3,5,3,4,5,3,5,4,3,4,4,5,4,3,5,4,5,5,4,4,5,3,5,5,3,5,3,5,3,4,4,3,5,,
Shishir,2,4,3,5,3,5,4,5,3,4,4,3,5,3,5,4,3,5,3,5,2,5,4,3,5,4,3,5,4,3,5,4,3,5,3,5,4,5,5,4,4,5,4,3,4,5,3,5,4,3,4,3,5,4,3,5,2,5,4,4,2,5,3,5,3,4,3,5,4,4,5,3,5,4,4,5,3,5,3,4,5,4,3,5,4,3,4,3,,
Swadhin Ghosh,2,2,3,4,3,3,3,3,2,2,2,4,3,4,3,4,3,2,3,3,3,4,2,3,3,2,3,2,3,3,2,3,4,3,2,3,3,4,3,3,3,3,3,3,3,2,2,2,3,2,3,2,2,2,3,3,2,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,4,4,3,3,3,2,2,2,2,3,2,3,3,2,3,3,,
h1,0,2,2,0,0,0,0,0,0,4,0,5,0,4,3,0,4,0,0,0,0,5,0,4,0,0,0,0,5,1,3,0,0,0,0,5,0,0,0,5,0,0,3,0,0,0,5,0,4,5,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,1,3,0,0,2,0,1,0,0,0,0,0,2,,
